PC,Variance,Cumulative
PC1,0.611791373844848,0.611791373844848
PC2,0.157360505602476,0.769151879447324
PC3,0.0167964075722155,0.78594828701954
PC4,0.0125750848292916,0.798523371848831
PC5,0.0117929999804389,0.81031637182927
PC6,0.0105369141535338,0.820853285982804
PC7,0.00969164905561651,0.83054493503842
PC8,0.0088998904624447,0.839444825500865
PC9,0.00884739490361858,0.848292220404484
PC10,0.00767666738699941,0.855968887791483
PC11,0.00759762638166083,0.863566514173144
PC12,0.0069183924365238,0.870484906609668
PC13,0.00657482388462945,0.877059730494297
PC14,0.00630954419834283,0.88336927469264
PC15,0.00597226960534463,0.889341544297985
PC16,0.00577979723549414,0.895121341533479
PC17,0.00558050102574606,0.900701842559225
PC18,0.00539883550038465,0.906100678059609
PC19,0.00508272560853949,0.911183403668149
PC20,0.0046787801443352,0.915862183812484
PC21,0.00459183567688365,0.920454019489368
PC22,0.00439322213414158,0.924847241623509
PC23,0.00433297914463056,0.92918022076814
PC24,0.00396874060773776,0.933148961375877
PC25,0.00389793435983535,0.937046895735713
PC26,0.0037224144054625,0.940769310141176
PC27,0.00349543347794158,0.944264743619117
PC28,0.00334150139262505,0.947606245011742
PC29,0.00315428956871219,0.950760534580454
PC30,0.00298561059913602,0.95374614517959
PC31,0.00286332902588701,0.956609474205477
PC32,0.00271945104449405,0.959328925249971
PC33,0.00257043990182662,0.961899365151798
PC34,0.00251112678513752,0.964410491936935
PC35,0.00241433750946808,0.966824829446404
PC36,0.00231712820314417,0.969141957649548
PC37,0.00229139123942782,0.971433348888976
PC38,0.0021979845407901,0.973631333429766
PC39,0.00218149597291827,0.975812829402684
PC40,0.00201189661032287,0.977824726013007
PC41,0.00175547190821675,0.979580197921224
PC42,0.00165629716906198,0.981236495090286
PC43,0.00153780130088233,0.982774296391168
PC44,0.00148129155714474,0.984255587948313
PC45,0.00146847272050529,0.985724060668818
PC46,0.0013666489193216,0.987090709588139
PC47,0.00135241424755482,0.988443123835694
PC48,0.00129465642823925,0.989737780263934
PC49,0.0012288743417318,0.990966654605665
PC50,0.00114160127567197,0.992108255881337
PC51,0.00108348406874045,0.993191739950078
PC52,0.00104187166397635,0.994233611614054
PC53,0.000989634152869967,0.995223245766924
PC54,0.000886977588564725,0.996110223355489
PC55,0.000827678724412107,0.996937902079901
PC56,0.000777190098536939,0.997715092178438
PC57,0.000636470532377363,0.998351562710815
PC58,0.000572052539203999,0.998923615250019
PC59,0.0004507406082201,0.999374355858239
PC60,0.000391366796723838,0.999765722654963
PC61,0.000234277345036862,1
PC62,6.89085665053613e-31,1
