"Cohort","Genus","beta_PD","se_PD","p_PD","n_coh"
"Finland","Acidaminococcus",-0.802765522936591,0.166302861386491,3.45512269484749e-06,148
"Finland","Actinomyces",0.195952506856349,0.0495678634350653,0.000119760332280941,148
"Finland","Akkermansia",0.266432035848096,0.197677330571273,0.179806231198481,148
"Finland","Alistipes",-0.0229436206360565,0.132656805825072,0.862926561783577,148
"Finland","Anaerococcus",0.17420334587751,0.0589333799202532,0.00363597143863843,148
"Finland","Anaerotruncus",0.189601106461136,0.0650730964609642,0.00413466006874687,148
"Finland","Bacteroides",0.300205935113829,0.130376291664548,0.0227137609651227,148
"Finland","Barnesiella",-0.313635531328935,0.276825437344731,0.259083044813393,148
"Finland","Bifidobacterium",0.0640551787242869,0.111480040446718,0.566453747047862,148
"Finland","Blautia",0.357924586949317,0.167172862829841,0.0339307774315227,148
"Finland","Butyricimonas",0.396719137023111,0.230205548202459,0.0869466889202942,148
"Finland","Catenibacterium",0.200270875245179,0.145338059416496,0.170322126603216,148
"Finland","Clostridium_IV",-0.282140826428586,0.212244774717171,0.185816475954652,148
"Finland","Clostridium_XI",0.154033796761465,0.21984679847485,0.484641838754778,148
"Finland","Clostridium_XVIII",-0.0587600818137171,0.142471660994078,0.680626707844243,148
"Finland","Clostridium_XlVa",-0.483338320962299,0.195867105923192,0.0147542765098848,148
"Finland","Clostridium_XlVb",-0.0981938374756488,0.181115193918408,0.588533210263289,148
"Finland","Collinsella",0.0888243797552272,0.144100019075277,0.538585309987923,148
"Finland","Coprobacillus",-0.289885656300512,0.173770623178628,0.0974176002593046,148
"Finland","Coprococcus",-0.892985046950169,0.306414166203811,0.00412661663681388,148
"Finland","Dialister",-0.806286906498271,0.287301534006392,0.00569375832103086,148
"Finland","Dorea",0.354486035747249,0.185642644137933,0.0581581348398293,148
"Finland","Eggerthella",0.311641455004792,0.157493987162454,0.0497254055949429,148
"Finland","Erysipelotrichaceae_incertae_sedis",-0.557708823554158,0.217450338110552,0.0113337693742924,148
"Finland","Escherichia_Shigella",-0.682968895398207,0.289938101193165,0.019824317357593,148
"Finland","Faecalibacterium",-0.125880238374968,0.193452696401135,0.516260993725924,148
"Finland","Flavonifractor",0.0689751158404609,0.157309282327395,0.66169503448249,148
"Finland","Fusobacterium",0.0793654769889727,0.0761023996588987,0.298728799422838,148
"Finland","Gordonibacter",0.182698057491325,0.0521662545262767,0.000612522688618259,148
"Finland","Holdemania",0.242897542937483,0.101676190064307,0.0181749871216293,148
"Finland","Lachnospiracea_incertae_sedis",0.283979158261903,0.184744006835561,0.126421083654527,148
"Finland","Lactococcus",-0.525300888070667,0.14061639321493,0.000267830861140073,148
