replicate,DSAS,PRS,MBPI_v2_score,final_class,DSAS_pooled_auroc,DSAS_loco_auroc,DSAS_pd_main_fdr,DSAS_fixed_effect_fdr,DSAS_effect_size,pd_main_count,pd_main_n,pd_main_proportion,median_abs_pd_effect_sig,mean_abs_pd_effect_top20,fixed_effect_count,fixed_effect_n,fixed_effect_proportion,median_abs_fixed_effect_sig,S_CDDR,S_angle,S_BPG,S_LOCO,S_feature,S_heterogeneity,R2_cohort,R2_disease,CDDR,angle_degrees,bootstrap_mode
1,0.8673304052886185,0.9999999887571597,0.8673303955373612,non-portable,0.8731503843158879,0.30755213130674525,1.0,1.0,1.0,22,62,0.3548387096774194,0.26243558119180066,0.3238215776155957,19,62,0.3064516129032258,0.09575261980907142,0.7019820391083246,0.907417929420373,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6451612903225806,0.7451799409685592,0.0033012501524167163,225.7265904018337,81.66761364783358,fast_genus_and_geometry
2,0.8599277694237353,0.9999999864619589,0.8599277577819978,non-portable,0.8731503843158879,0.30755213130674525,1.0,0.9677419354838709,0.948721476250725,23,62,0.3709677419354839,0.23718036906268125,0.30293453321855984,12,62,0.1935483870967742,0.19080420937763953,0.708562235805234,0.991331246664534,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6290322580645161,0.7528464419157064,0.002799328992967187,268.93817904472763,89.21981219980806,fast_genus_and_geometry
3,0.8552540869214311,0.9999999546895526,0.8552540481694858,non-portable,0.8731503843158879,0.30755213130674525,1.0,1.0,0.7584736326562547,28,62,0.45161290322580644,0.18961840816406367,0.3335432853256647,13,62,0.20967741935483872,0.138179435590661,0.6993548567896932,0.9285225168121619,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.5967741935483871,0.7516802278484059,0.0035637465630417014,210.92415371053704,83.56702651309458,fast_genus_and_geometry
4,0.8624916956111991,0.9999997197415337,0.8624914538905992,non-portable,0.8731503843158879,0.30755213130674525,1.0,0.9677419354838709,1.0,20,62,0.3225806451612903,0.2663124777478919,0.3240332040935868,12,62,0.1935483870967742,0.1045002114982705,0.7016546278631866,0.9666521504583154,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.532258064516129,0.7480713435128027,0.0033424051177197802,223.81229000245904,86.99869354124839,fast_genus_and_geometry
5,0.8673304052886185,0.9999999964239392,0.8673304021869922,non-portable,0.8731503843158879,0.30755213130674525,1.0,1.0,1.0,23,62,0.3709677419354839,0.27897745559853715,0.3261608180921535,14,62,0.22580645161290322,0.1363191986773351,0.7014925032259443,0.9529765218048944,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6774193548387096,0.7501895277903697,0.003366011918563125,222.87191665994126,85.7678869624405,fast_genus_and_geometry
6,0.8624916956111991,0.999999996449918,0.8624916925492828,non-portable,0.8731503843158879,0.30755213130674525,1.0,0.9677419354838709,1.0,18,62,0.2903225806451613,0.346281799240601,0.34245844291883915,12,62,0.1935483870967742,0.15600890901141218,0.6993653770519159,0.9549868226181426,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6774193548387096,0.7563995160334547,0.0035851553624237265,210.98095886201554,85.94881403563284,fast_genus_and_geometry
7,0.826201373030554,0.9999993975504992,0.8262008752859492,non-portable,0.8731503843158879,0.30755213130674525,1.0,0.7258064516129032,1.0,19,62,0.3064516129032258,0.2506138950904784,0.29432660233601454,9,62,0.14516129032258066,0.09934470705161098,0.7088996613210478,0.8907813972898982,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.5161290322580645,0.7531251602760349,0.0027747423713992128,271.4216527050972,80.17032575609085,fast_genus_and_geometry
8,0.8020078246434572,0.9999999736670064,0.8020078035241903,non-portable,0.8731503843158879,0.30755213130674525,1.0,0.564516129032258,1.0,23,62,0.3709677419354839,0.2529679986699883,0.33468216318475114,7,62,0.11290322580645161,0.12061226843377172,0.699551334858664,0.9430248000164597,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6129032258064516,0.7531402760881222,0.003552745674649076,211.98823249922438,84.87223200148138,fast_genus_and_geometry
9,0.8673304052886185,0.999999993465541,0.8673303996210835,non-portable,0.8731503843158879,0.30755213130674525,1.0,1.0,1.0,18,62,0.2903225806451613,0.3071722219234946,0.3278984588562821,13,62,0.20967741935483872,0.10702083276205233,0.6998967450501534,0.9219000759398759,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6612903225806451,0.7479468161330627,0.003497116751312744,213.87527764187433,82.97100683458883,fast_genus_and_geometry
10,0.8582137438033483,0.9999999811515942,0.8582137276273873,non-portable,0.8731503843158879,0.30755213130674525,1.0,1.0,0.817666770294597,23,62,0.3709677419354839,0.20441669257364925,0.32439321173871716,16,62,0.25806451612903225,0.13062863466412647,0.7011166423464325,0.9000893203914752,0.8870369060213331,0.9054116865286785,0.6656779137313065,0.6290322580645161,0.7513154895160681,0.00340407235496099,220.7107873077739,81.00803883523277,fast_genus_and_geometry
