cohort,rep_id,fold,n_train,n_test,prev_test,auroc,auprc,f1,balacc,sensitivity,specificity
finland,1,1,118,30,0.5,0.937777777777778,0.938304473304473,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
finland,1,2,118,30,0.5,0.973333333333333,0.976758563074353,0.857142857142857,0.866666666666667,0.8,0.933333333333333
finland,1,3,118,30,0.5,0.986666666666667,0.987712418300654,0.9375,0.933333333333333,1,0.866666666666667
finland,1,4,118,30,0.5,0.973333333333333,0.976758563074353,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,1,5,120,28,0.5,0.994897959183674,0.995238095238095,0.962962962962963,0.964285714285714,0.928571428571429,1
finland,2,1,118,30,0.5,0.991111111111111,0.991388888888889,0.909090909090909,0.9,1,0.8
finland,2,2,118,30,0.5,0.946666666666667,0.961244019138756,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,2,3,118,30,0.5,0.973333333333333,0.972266752854988,0.896551724137931,0.9,0.866666666666667,0.933333333333333
finland,2,4,118,30,0.5,0.982222222222222,0.984444444444444,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,2,5,120,28,0.5,0.994897959183674,0.995238095238095,0.88,0.892857142857143,0.785714285714286,1
finland,3,1,118,30,0.5,1,1,0.96551724137931,0.966666666666667,0.933333333333333,1
finland,3,2,118,30,0.5,0.982222222222222,0.983823529411765,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
finland,3,3,118,30,0.5,0.995555555555556,0.995833333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,3,4,118,30,0.5,0.866666666666667,0.869414735591206,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333
finland,3,5,120,28,0.5,0.969387755102041,0.976100966702471,0.928571428571429,0.928571428571429,0.928571428571429,0.928571428571429
finland,4,1,118,30,0.5,0.977777777777778,0.975943223443224,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,4,2,118,30,0.5,0.96,0.963614484930275,0.846153846153846,0.866666666666667,0.733333333333333,1
finland,4,3,118,30,0.5,0.982222222222222,0.982950513538749,0.903225806451613,0.9,0.933333333333333,0.866666666666667
finland,4,4,118,30,0.5,0.977777777777778,0.980555555555556,0.896551724137931,0.9,0.866666666666667,0.933333333333333
finland,4,5,120,28,0.5,0.979591836734694,0.984126984126984,0.896551724137931,0.892857142857143,0.928571428571429,0.857142857142857
finland,5,1,118,30,0.5,0.933333333333333,0.935859380557523,0.8,0.8,0.8,0.8
finland,5,2,118,30,0.5,0.991111111111111,0.992156862745098,0.96551724137931,0.966666666666667,0.933333333333333,1
finland,5,3,118,30,0.5,0.946666666666667,0.960284983558641,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
finland,5,4,118,30,0.5,0.977777777777778,0.97968253968254,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,5,5,120,28,0.5,0.989795918367347,0.990136054421769,0.923076923076923,0.928571428571429,0.857142857142857,1
finland,6,1,118,30,0.5,0.955555555555556,0.96167851756087,0.838709677419355,0.833333333333333,0.866666666666667,0.8
finland,6,2,118,30,0.5,0.977777777777778,0.980555555555556,0.896551724137931,0.9,0.866666666666667,0.933333333333333
finland,6,3,118,30,0.5,0.991111111111111,0.991388888888889,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,6,4,118,30,0.5,0.995555555555556,0.995833333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,6,5,120,28,0.5,0.969387755102041,0.974002100840336,0.827586206896552,0.821428571428571,0.857142857142857,0.785714285714286
finland,7,1,118,30,0.5,0.986666666666667,0.987712418300654,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,7,2,118,30,0.5,0.96,0.966111111111111,0.875,0.866666666666667,0.933333333333333,0.8
finland,7,3,118,30,0.5,0.964444444444444,0.967234073116426,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
finland,7,4,118,30,0.5,0.995555555555556,0.995833333333333,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,7,5,120,28,0.5,0.964285714285714,0.967667066826731,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
finland,8,1,118,30,0.5,1,1,0.967741935483871,0.966666666666667,1,0.933333333333333
finland,8,2,118,30,0.5,0.973333333333333,0.973933419521655,0.814814814814815,0.833333333333333,0.733333333333333,0.933333333333333
finland,8,3,118,30,0.5,0.973333333333333,0.975793650793651,0.875,0.866666666666667,0.933333333333333,0.8
finland,8,4,118,30,0.5,0.995555555555556,0.995833333333333,0.928571428571429,0.933333333333333,0.866666666666667,1
finland,8,5,120,28,0.5,0.923469387755102,0.936080189651618,0.827586206896552,0.821428571428571,0.857142857142857,0.785714285714286
finland,9,1,118,30,0.5,0.986666666666667,0.988888888888889,0.903225806451613,0.9,0.933333333333333,0.866666666666667
finland,9,2,118,30,0.5,0.964444444444444,0.966074802390592,0.903225806451613,0.9,0.933333333333333,0.866666666666667
finland,9,3,118,30,0.5,1,1,0.96551724137931,0.966666666666667,0.933333333333333,1
finland,9,4,118,30,0.5,0.986666666666667,0.987712418300654,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
finland,9,5,120,28,0.5,0.948979591836735,0.948918850757086,0.888888888888889,0.892857142857143,0.857142857142857,0.928571428571429
finland,10,1,118,30,0.5,0.995555555555556,0.995833333333333,0.96551724137931,0.966666666666667,0.933333333333333,1
finland,10,2,118,30,0.5,0.973333333333333,0.977124183006536,0.888888888888889,0.9,0.8,1
finland,10,3,118,30,0.5,1,1,1,1,1,1
finland,10,4,118,30,0.5,0.946666666666667,0.955463822956083,0.8,0.8,0.8,0.8
finland,10,5,120,28,0.5,0.923469387755102,0.930521825955262,0.846153846153846,0.857142857142857,0.785714285714286,0.928571428571429
