Cohort,Group,n,mean_dist,sd_dist
usa,Control:Female,79,12.331077200044,1.01851403665453
usa,Control:Male,54,12.8597605925531,0.690339082579007
usa,PD:Female,69,11.9076233308195,1.26964527442786
usa,PD:Male,135,11.0958922175219,1.31817941839312
finland,Control:Male,37,15.0360373682299,1.6480332823495
finland,Control:Female,37,15.7990699552994,1.57551989865089
finland,PD:Male,37,16.4662077153363,1.41864604502688
finland,PD:Female,37,15.1338246972948,1.43140989227699
malaysia,PD:Male,63,18.4449627809269,2.00559776759637
malaysia,PD:Female,38,17.2351769597768,1.66464496223483
malaysia,Control:Male,40,16.4667734754039,1.68834833134096
malaysia,Control:Female,56,16.0770588177527,1.99343550192693
